,count,mean,std,min,25%,50%,75%,max,variance,missing,missing_percent,zeros_percent
CKB,76893.0,0.036370029651086294,0.21251847156235182,-1.10211599604185,-0.0005821352329308,0.0,0.0053625542348665,3.30083740009418,0.04516410075519814,0,0.0,21.36
MYL9,76893.0,0.0028961983226160736,0.06972648622506245,-0.60267865401262,-0.0004659651297056,0.0,0.0012500416447901,3.21105001484626,0.004861782881293823,0,0.0,23.99
SERPINA1,76893.0,0.4790526149828018,0.9181751844994507,-0.895824947453051,-0.0022504690303249,0.0213908256948368,0.211706308527822,5.32290923823702,0.8430456694306003,0,0.0,13.0
CTSW,76893.0,0.5957984311079434,0.9218208876376616,-1.18559503958598,-0.0015465358603232,0.0323104350765997,1.15839266153637,5.1883538488521,0.8497537488850864,0,0.0,12.78
CDK1,76893.0,0.003424808894956492,0.04210401826190628,-0.868818794530596,-9.6544036302777e-05,2.6826480699973e-05,0.0035489720721016,2.25271378278038,0.0017727483537989378,0,0.0,22.5
CCNB1,76893.0,0.009203475475538504,0.09594524373319388,-1.24531893837573,-0.0014629762502505,0.0004701380680167,0.0118185911188436,2.51612068534137,0.00920548979502198,0,0.0,19.79
MYBL2,76893.0,0.01950450279144898,0.11589412972751803,-0.563245767047415,0.0,1.45156726196204e-05,0.0014131363437699,2.37339496279151,0.013431449305298779,0,0.0,25.6
SMPD3,76893.0,0.029845382625746368,0.17227356032146887,-0.450232148419849,0.0,0.0023477708747681,0.0170887846686762,3.19892633957615,0.029678179585834776,0,0.0,19.65
BASP1,76893.0,0.1878032883783628,0.40018190360274913,-0.663027986204976,0.0,0.0040239950032708,0.149577581907032,3.62485888463348,0.16014555597112,0,0.0,17.21
ACTB,76893.0,3.419261663538706,0.7643566621912098,-0.876763587176565,2.91887793778639,3.40669867422496,4.03684501859399,6.09685016846219,0.5842411070360872,0,0.0,0.06
LINC00926,76893.0,0.2491661402252401,0.6362946713970338,-0.878692035839767,0.0,0.0050133445596471,0.0246444061914019,5.66192367958279,0.40487090884825916,0,0.0,16.94
XCL2,76893.0,0.11658473781291243,0.38702063511544776,-0.901447807268543,-0.0004809853349524,0.0,0.0067441942744389,4.23646302922043,0.14978497200516455,0,0.0,22.15
AXL,76893.0,0.003145265778408704,0.05237103364711615,-0.697515215705538,-0.0002704191764023,0.0,0.0001436889968227,2.18018068114564,0.002742725165267372,0,0.0,30.69
CLDN5,76893.0,0.0016658432021795036,0.04777317449042087,-0.537931477549917,-3.46823454208205e-05,0.0,0.0003013523791705,3.27662541188102,0.0022822762008921998,0,0.0,31.11
RHOC,76893.0,0.20286663786452577,0.5232845715912573,-1.77937037718025,-0.0274195001895346,0.0,0.12565719092388,5.22800698557445,0.2738267428654457,0,0.0,15.3
